Name,Rating,Summary,Verified,Review
Sky,5.0 out of 5 stars,It’s looks new,Verified Purchase,It’s a really good phone and I LOVE it so much!!!
Verdell M.,5.0 out of 5 stars,It nice phone,Verified Purchase,No disclikes
Erica Richardson,5.0 out of 5 stars,Worth the buy,Verified Purchase,I’ve had my phone about 3 months and I love it
Matthias Futterer,5.0 out of 5 stars,Iphone 12 pro,Verified Purchase,Everything came as described could not be happier huge upgrade for the push button iPhone 6s.
Cristiane,3.0 out of 5 stars,iPhone is very beautiful,Verified Purchase,The capacity battery come 91%. I think the come 100%.Awaiting return. Thank you
Wilmer,5.0 out of 5 stars,Best Seller,Verified Purchase,Very good phone everything is in good condition
Harrison Jenkins,5.0 out of 5 stars,Amazing,Verified Purchase,"Came 3 days earlier than expected, worked perfectly with no issues and no damages to the phone"
Arturo S.,5.0 out of 5 stars,Really good quality item as expected,Verified Purchase,This item was for my and son and he liked berry much
M,5.0 out of 5 stars,Good,Verified Purchase,I wish it was a little cheaper but overall good phone
eric miller,5.0 out of 5 stars,Photos are crisp,Verified Purchase,This product is easy to use and setup
Klajdi,5.0 out of 5 stars,Quality and battery life good,Verified Purchase,"This Iphone is very good, new and battery is new too."
